video_id,track_id,class_name,true_label,suggested_label,label_source,first_frame,last_frame,num_frames,evidence,notes
IMG_4972,bicycle_1,bicycle,approaching,approaching,manual,9,14,6,bicycle_1 classified as approaching because bbox grew by 11.42 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=17.26.,verified from video
IMG_4972,motorcycle_1,motorcycle,uncertain,uncertain,manual,7,8,2,"motorcycle_1 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=20.88) but direction is not trustworthy.",kept uncertain because track is too short
IMG_4972,motorcycle_2,motorcycle,uncertain,uncertain,manual,7,7,1,"motorcycle_2 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=23.38) but direction is not trustworthy.",kept uncertain because track is too short
IMG_4972,person_1,person,approaching,approaching,manual,0,14,15,person_1 classified as approaching because bbox grew by 21.98 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=14.50.,verified cyclist/rider approaching camera
IMG_4972,person_2,person,moving_away,approaching,manual,1,17,17,person_2 classified as approaching because bbox grew by 0.79 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=17.77.,corrected: person is walking away from camera (trajectory reversed mid-track; classifier used start->end growth)
IMG_4972,person_3,person,uncertain,uncertain,manual,14,17,2,"person_3 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=20.58) but direction is not trustworthy.",kept uncertain because track is too short/far
IMG_4972,skateboard_1,skateboard,uncertain,uncertain,manual,9,10,2,"skateboard_1 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=14.16) but direction is not trustworthy.",real object appears to be a scooter; YOLO mapped it to skateboard because there is no scooter class; kept uncertain because track is too short
IMG_4973,bicycle_1,bicycle,uncertain,uncertain,manual,27,27,1,"bicycle_1 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=11.17) but direction is not trustworthy.",kept uncertain because the bicycle track is only 1 frame long
IMG_4973,person_1,person,uncertain,static,manual,0,0,1,"person_1 classified as static because low motion (disp_norm=0.000, flow_mag=0.00, frame_diff_overlap=0.00).","corrected: model said static, but only 1 frame is visible so direction cannot be verified"
IMG_4973,person_2,person,moving_away,uncertain,manual,0,9,9,"person_2 classified as uncertain (low_signal) because motion was detected (flow_mag=14.38, frame_diff_overlap=0.45) but no rule fired: growth_ratio=0.11, dx_norm=-0.02, approach_score=0.62.",corrected: low_signal abstention; person is actually walking away
IMG_4973,person_3,person,approaching,approaching,manual,7,28,20,person_3 classified as approaching because bbox grew by 31.91 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=13.77.,verified only person moving toward camera
IMG_4973,person_4,person,moving_away,approaching,manual,14,28,11,person_4 classified as approaching because bbox grew by 2.27 and approach_score=0.75; flow_mag=13.12.,corrected: person is moving away from camera (trajectory reversed mid-track; classifier used start->end growth)
IMG_4973,person_5,person,moving_away,moving_away,manual,23,27,5,person_5 classified as moving_away because bbox shrank: growth_ratio=-0.23 below -0.15.,verified moving away from camera
IMG_4974,person_1,person,approaching,approaching,manual,0,7,8,person_1 classified as approaching because bbox grew by 1.80 and approach_score=0.75; flow_mag=18.17.,verified approaching camera
IMG_4974,person_2,person,approaching,approaching,manual,0,8,8,person_2 classified as approaching because bbox grew by 1.93 and approach_score=0.75; flow_mag=19.33.,verified approaching camera
IMG_4974,person_3,person,approaching,approaching,manual,0,15,16,person_3 classified as approaching because bbox grew by 2.67 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=12.62.,verified cyclist/person approaching camera
IMG_4974,person_4,person,approaching,approaching,manual,0,15,15,person_4 classified as approaching because bbox grew by 1.32 and approach_score=0.75; flow_mag=13.22.,verified approaching camera
IMG_4975,bicycle_1,bicycle,approaching,approaching,manual,10,15,6,bicycle_1 classified as approaching because bbox grew by 12.10 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=14.59.,verified bicycle of approaching rider
IMG_4975,bicycle_2,bicycle,uncertain,uncertain,manual,15,16,2,"bicycle_2 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=18.94) but direction is not trustworthy.",kept uncertain because track is too short
IMG_4975,person_1,person,approaching,approaching,manual,0,19,20,person_1 classified as approaching because bbox grew by 5.89 and approach_score=0.75; flow_mag=10.70.,verified approaching camera
IMG_4975,person_2,person,approaching,approaching,manual,0,14,15,person_2 classified as approaching because bbox grew by 19.96 and approach_score=0.75; flow_mag=13.47.,verified approaching camera
IMG_4975,person_3,person,approaching,approaching,manual,14,16,3,person_3 classified as approaching because bbox grew by 3.30 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=16.91.,"verified approaching, but likely duplicate/fragmented track of an existing person"
IMG_4976,bicycle_1,bicycle,approaching,uncertain,manual,15,16,2,"bicycle_1 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=13.44) but direction is not trustworthy.",corrected: visible bicycle belongs to close approaching cyclist/rider (classifier abstained because track only 2 frames long)
IMG_4976,bicycle_2,bicycle,uncertain,uncertain,manual,17,17,1,"bicycle_2 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=10.00) but direction is not trustworthy.",kept uncertain because only partial wheel appears for one frame
IMG_4976,person_1,person,approaching,approaching,manual,0,16,14,person_1 classified as approaching because bbox grew by 231.01 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=10.59.,verified close cyclist/rider approaching and passing camera
IMG_4976,person_2,person,approaching,approaching,manual,1,17,15,person_2 classified as approaching because bbox grew by 2.19 and approach_score=0.75; flow_mag=11.26.,verified approaching camera
IMG_4976,person_3,person,approaching,approaching,manual,7,19,10,person_3 classified as approaching because bbox grew by 0.53 and approach_score=0.75; flow_mag=9.49.,verified approaching camera
IMG_4976,person_4,person,moving_away,moving_away,manual,15,18,3,person_4 classified as moving_away because bbox shrank: growth_ratio=-0.65 below -0.15.,verified moving away or shrinking
IMG_4977,bicycle_1,bicycle,crossing_left_to_right,uncertain,manual,14,14,1,"bicycle_1 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=18.95) but direction is not trustworthy.","corrected: bicycle is crossing path, not approaching; still safety-relevant (tracker fragmented fast crossing object into 1-frame detection)"
IMG_4978,person_1,person,crossing_right_to_left,approaching,manual,7,11,5,person_1 classified as approaching because bbox grew by 1.72 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=14.20.,"corrected: person crosses from right to left across camera path, not directly approaching (priority-order conflict: both approach and crossing cues present, approaching fired first)"
IMG_4979,person_1,person,crossing_left_to_right,uncertain,manual,7,7,1,"person_1 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=16.46) but direction is not trustworthy.",corrected: person crosses very close from left to right; safety-relevant crossing hazard (tracker fragmentation)
IMG_4980,person_1,person,moving_away,crossing_left_to_right,manual,0,19,20,person_1 classified as crossing_left_to_right because dx=145.8px (15.2% of width) with bbox_growth=-0.24 below threshold.,"corrected: person is moving forward away from camera; sideways screen drift is from camera ego-motion, not object lateral motion"
IMG_4980,person_2,person,moving_away,crossing_right_to_left,manual,7,19,12,person_2 classified as crossing_right_to_left because dx=-522.0px (-54.4% of width) with bbox_growth=-0.71 below threshold.,"corrected: person is moving forward away from camera; sideways screen drift is from camera ego-motion, not object lateral motion"
IMG_4981,bicycle_1,bicycle,approaching,approaching,manual,17,20,4,bicycle_1 classified as approaching because bbox grew by 6.78 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=19.80.,verified bicycle of approaching rider
IMG_4981,bicycle_2,bicycle,moving_away,crossing_right_to_left,manual,21,24,3,bicycle_2 classified as crossing_right_to_left because dx=-210.5px (-21.9% of width) with bbox_growth=-0.10 below threshold.,corrected: bicycle/rider is moving away from camera; lateral screen movement should not be treated as crossing (priority-order conflict: both crossing and moving_away cues fire)
IMG_4981,person_1,person,uncertain,uncertain,manual,1,1,1,"person_1 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=6.90) but direction is not trustworthy.",kept uncertain because only one frame is visible
IMG_4981,person_2,person,approaching,approaching,manual,2,19,18,person_2 classified as approaching because bbox grew by 16.23 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=10.39.,verified pedestrian approaching camera
IMG_4981,person_3,person,crossing_right_to_left,approaching,manual,9,20,11,person_3 classified as approaching because bbox grew by 1.92 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=14.54.,"corrected: person/rider is crossing from right to left, not directly approaching (priority-order conflict: both approaching and crossing cues fire)"
